Job_ID,Type,Alloc,Batch,GAS,JCT,Energy,Cost
2,GPT-FineTune,4,32,1,106.0,0.07,0.35
8,GPT-FineTune,4,32,1,106.2,0.07,0.35
11,GPT-FineTune,4,32,1,105.4,0.07,0.35
20,GPT-FineTune,4,32,1,105.7,0.07,0.35
24,GPT-FineTune,4,32,1,105.0,0.07,0.35
32,GPT-FineTune,4,32,1,106.0,0.07,0.35
33,GPT-FineTune,4,32,1,105.1,0.07,0.35
38,GPT-FineTune,4,32,1,105.8,0.07,0.35
44,GPT-FineTune,4,32,1,107.3,0.07,0.35
50,GPT-FineTune,4,32,1,106.5,0.07,0.35
62,GPT-FineTune,4,32,1,106.0,0.07,0.35
65,GPT-FineTune,4,32,1,106.5,0.07,0.35
66,GPT-FineTune,4,32,1,105.3,0.07,0.35
67,GPT-FineTune,4,32,1,106.0,0.07,0.35
81,GPT-FineTune,4,32,1,105.9,0.07,0.35
85,GPT-FineTune,4,32,1,106.0,0.07,0.35
87,GPT-FineTune,4,32,1,106.6,0.07,0.35
89,GPT-FineTune,4,32,1,107.2,0.07,0.35
91,GPT-FineTune,4,32,1,107.3,0.07,0.35
95,GPT-FineTune,4,32,1,106.4,0.07,0.35
100,GPT-FineTune,4,32,1,105.1,0.07,0.35
103,GPT-FineTune,4,32,1,106.2,0.07,0.35
105,GPT-FineTune,4,32,1,105.5,0.07,0.35
107,GPT-FineTune,4,32,1,105.3,0.07,0.35
109,GPT-FineTune,4,32,1,105.7,0.07,0.35
115,GPT-FineTune,4,32,1,106.0,0.07,0.35
118,GPT-FineTune,4,32,1,106.0,0.07,0.35
123,GPT-FineTune,4,32,1,105.5,0.07,0.35
130,GPT-FineTune,4,32,1,106.1,0.07,0.35
147,GPT-FineTune,4,32,1,106.0,0.07,0.35
148,GPT-FineTune,4,32,1,105.0,0.07,0.35
150,GPT-FineTune,4,32,1,105.9,0.07,0.35
182,GPT-FineTune,4,32,1,105.3,0.07,0.35
189,GPT-FineTune,4,32,1,105.5,0.07,0.35
191,GPT-FineTune,4,32,1,105.0,0.07,0.35
210,GPT-FineTune,4,32,1,105.8,0.07,0.35
224,GPT-FineTune,4,32,1,105.6,0.07,0.35
231,GPT-FineTune,4,32,1,106.0,0.07,0.35
244,GPT-FineTune,4,32,1,105.4,0.07,0.35
247,GPT-FineTune,4,32,1,105.9,0.07,0.35
255,GPT-FineTune,4,32,1,105.6,0.07,0.35
259,GPT-FineTune,4,32,1,106.5,0.07,0.35
262,GPT-FineTune,4,32,1,105.7,0.07,0.35
264,GPT-FineTune,4,32,1,106.2,0.07,0.35
281,GPT-FineTune,4,32,1,105.2,0.07,0.35
285,GPT-FineTune,4,32,1,105.6,0.07,0.35
300,GPT-FineTune,4,32,1,105.3,0.07,0.35
316,GPT-FineTune,4,32,1,105.4,0.07,0.35
317,GPT-FineTune,4,32,1,105.9,0.07,0.35
321,GPT-FineTune,4,32,1,106.3,0.07,0.35
323,GPT-FineTune,4,32,1,105.9,0.07,0.35
327,GPT-FineTune,4,32,1,105.9,0.07,0.35
260,DenseNet121,4,64,1,239.6,0.16,0.80
333,GPT-FineTune,4,32,1,106.0,0.07,0.35
265,DenseNet121,4,64,1,239.1,0.16,0.80
272,DenseNet121,4,64,1,239.3,0.16,0.80
273,DenseNet121,4,64,1,239.6,0.16,0.80
369,GPT-FineTune,4,32,1,105.9,0.07,0.35
278,DenseNet121,4,64,1,240.0,0.16,0.80
378,GPT-FineTune,4,32,1,105.9,0.07,0.35
283,DenseNet121,4,64,1,240.3,0.16,0.80
404,GPT-FineTune,4,32,1,105.8,0.07,0.35
411,GPT-FineTune,4,32,1,106.0,0.07,0.35
416,GPT-FineTune,4,32,1,105.3,0.07,0.35
307,DenseNet121,4,64,1,239.5,0.16,0.80
418,GPT-FineTune,4,32,1,105.4,0.07,0.35
421,GPT-FineTune,4,32,1,105.4,0.07,0.35
314,DenseNet121,4,64,1,239.6,0.16,0.80
429,GPT-FineTune,4,32,1,105.6,0.07,0.35
432,GPT-FineTune,4,32,1,105.4,0.07,0.35
324,DenseNet121,4,64,1,240.4,0.16,0.80
336,DenseNet121,4,64,1,239.5,0.16,0.80
338,DenseNet121,4,64,1,240.3,0.16,0.80
449,GPT-FineTune,4,32,1,106.1,0.07,0.35
345,DenseNet121,4,64,1,239.4,0.16,0.80
348,DenseNet121,4,64,1,240.3,0.16,0.80
454,GPT-FineTune,4,32,1,105.7,0.07,0.35
459,GPT-FineTune,4,32,1,106.6,0.07,0.35
460,GPT-FineTune,4,32,1,106.0,0.07,0.35
358,DenseNet121,4,64,1,240.0,0.16,0.80
365,DenseNet121,4,64,1,239.7,0.16,0.80
474,GPT-FineTune,4,32,1,106.0,0.07,0.35
485,GPT-FineTune,4,32,1,105.9,0.07,0.35
490,GPT-FineTune,4,32,1,105.5,0.07,0.35
491,GPT-FineTune,4,32,1,105.1,0.07,0.35
498,GPT-FineTune,4,32,1,106.2,0.07,0.35
415,DenseNet121,4,64,1,239.4,0.16,0.80
512,GPT-FineTune,4,32,1,106.2,0.07,0.35
515,GPT-FineTune,4,32,1,105.6,0.07,0.35
516,GPT-FineTune,4,32,1,105.2,0.07,0.35
525,GPT-FineTune,4,32,1,105.0,0.07,0.35
527,GPT-FineTune,4,32,1,106.0,0.07,0.35
530,GPT-FineTune,4,32,1,105.7,0.07,0.35
446,DenseNet121,4,64,1,240.0,0.16,0.80
549,GPT-FineTune,4,32,1,105.9,0.07,0.35
555,GPT-FineTune,4,32,1,106.0,0.07,0.35
557,GPT-FineTune,4,32,1,106.0,0.07,0.35
561,GPT-FineTune,4,32,1,105.9,0.07,0.35
562,GPT-FineTune,4,32,1,105.5,0.07,0.35
572,GPT-FineTune,4,32,1,105.7,0.07,0.35
585,GPT-FineTune,4,32,1,106.0,0.07,0.35
489,DenseNet121,4,64,1,239.6,0.16,0.80
589,GPT-FineTune,4,32,1,106.3,0.07,0.35
594,GPT-FineTune,4,32,1,105.5,0.07,0.35
350,DenseNet121,4,64,1,435.1,0.22,0.72
505,DenseNet121,4,64,1,239.6,0.16,0.80
359,DenseNet121,4,64,1,435.6,0.22,0.72
364,DenseNet121,4,64,1,434.9,0.22,0.72
603,GPT-FineTune,4,32,1,105.2,0.07,0.35
604,GPT-FineTune,4,32,1,105.9,0.07,0.35
605,GPT-FineTune,4,32,1,105.3,0.07,0.35
606,GPT-FineTune,4,32,1,105.1,0.07,0.35
368,DenseNet121,4,64,1,434.5,0.22,0.72
608,GPT-FineTune,4,32,1,105.7,0.07,0.35
373,DenseNet121,4,64,1,434.7,0.22,0.72
374,DenseNet121,4,64,1,434.1,0.22,0.72
380,DenseNet121,4,64,1,435.0,0.22,0.72
382,DenseNet121,4,64,1,435.0,0.22,0.72
6,DenseNet121,4,64,4,1024.6,0.26,0.57
611,GPT-FineTune,4,32,1,105.6,0.07,0.35
10,DenseNet121,4,64,4,1024.6,0.26,0.57
386,DenseNet121,4,64,1,434.6,0.22,0.72
529,DenseNet121,4,64,1,239.1,0.16,0.80
12,DenseNet121,4,64,4,1024.5,0.26,0.57
613,GPT-FineTune,4,32,1,105.7,0.07,0.35
535,DenseNet121,4,64,1,239.2,0.16,0.80
615,GPT-FineTune,4,32,1,106.2,0.07,0.35
19,DenseNet121,4,64,4,1025.0,0.26,0.57
399,DenseNet121,4,64,1,435.0,0.22,0.72
400,DenseNet121,4,64,1,434.7,0.22,0.72
405,DenseNet121,4,64,1,435.4,0.22,0.72
407,DenseNet121,4,64,1,434.7,0.22,0.72
408,DenseNet121,4,64,1,434.6,0.22,0.72
544,DenseNet121,4,64,1,239.1,0.16,0.80
409,DenseNet121,4,64,1,434.8,0.22,0.72
634,GPT-FineTune,4,32,1,105.6,0.07,0.35
645,GPT-FineTune,4,32,1,106.0,0.07,0.35
646,GPT-FineTune,4,32,1,106.2,0.07,0.35
426,DenseNet121,4,64,1,434.9,0.22,0.72
428,DenseNet121,4,64,1,434.9,0.22,0.72
40,DenseNet121,4,64,4,1024.3,0.26,0.57
43,DenseNet121,4,64,4,1025.4,0.26,0.57
571,DenseNet121,4,64,1,239.1,0.16,0.80
46,DenseNet121,4,64,4,1024.2,0.26,0.57
433,DenseNet121,4,64,1,434.7,0.22,0.72
573,DenseNet121,4,64,1,240.6,0.16,0.80
434,DenseNet121,4,64,1,435.0,0.22,0.72
49,DenseNet121,4,64,4,1025.4,0.26,0.57
575,DenseNet121,4,64,1,239.4,0.16,0.80
439,DenseNet121,4,64,1,434.5,0.22,0.72
440,DenseNet121,4,64,1,435.4,0.22,0.72
443,DenseNet121,4,64,1,435.3,0.22,0.72
657,GPT-FineTune,4,32,1,106.2,0.07,0.35
0,BERT-Large,1,64,4,1111.5,0.07,0.15
659,GPT-FineTune,4,32,1,106.6,0.07,0.35
663,GPT-FineTune,4,32,1,105.8,0.07,0.35
58,DenseNet121,4,64,4,1025.1,0.26,0.57
448,DenseNet121,4,64,1,434.6,0.22,0.72
5,BERT-Large,1,64,4,1111.0,0.07,0.15
7,BERT-Large,1,64,4,1111.3,0.07,0.15
451,DenseNet121,4,64,1,434.8,0.22,0.72
60,DenseNet121,4,64,4,1024.9,0.26,0.57
669,GPT-FineTune,4,32,1,105.4,0.07,0.35
13,BERT-Large,1,64,4,1111.4,0.07,0.15
16,BERT-Large,1,64,4,1111.1,0.07,0.15
18,BERT-Large,1,64,4,1111.7,0.07,0.15
461,DenseNet121,4,64,1,435.5,0.22,0.72
462,DenseNet121,4,64,1,436.3,0.22,0.72
463,DenseNet121,4,64,1,437.3,0.22,0.72
602,DenseNet121,4,64,1,239.3,0.16,0.80
21,BERT-Large,1,64,4,1111.5,0.07,0.15
675,GPT-FineTune,4,32,1,105.4,0.07,0.35
683,GPT-FineTune,4,32,1,105.2,0.07,0.35
29,BERT-Large,1,64,4,1111.4,0.07,0.15
31,BERT-Large,1,64,4,1111.3,0.07,0.15
478,DenseNet121,4,64,1,434.6,0.22,0.72
684,GPT-FineTune,4,32,1,105.6,0.07,0.35
34,BERT-Large,1,64,4,1111.6,0.07,0.15
35,BERT-Large,1,64,4,1111.7,0.07,0.15
36,BERT-Large,1,64,4,1111.6,0.07,0.15
39,BERT-Large,1,64,4,1111.5,0.07,0.15
486,DenseNet121,4,64,1,435.2,0.22,0.72
487,DenseNet121,4,64,1,435.6,0.22,0.72
41,BERT-Large,1,64,4,1111.7,0.07,0.15
88,DenseNet121,4,64,4,1025.2,0.26,0.57
45,BERT-Large,1,64,4,1111.2,0.07,0.15
90,DenseNet121,4,64,4,1025.5,0.26,0.57
693,GPT-FineTune,4,32,1,105.6,0.07,0.35
492,DenseNet121,4,64,1,434.7,0.22,0.72
493,DenseNet121,4,64,1,435.1,0.22,0.72
97,DenseNet121,4,64,4,1025.9,0.26,0.57
47,BERT-Large,1,64,4,1111.1,0.07,0.15
98,DenseNet121,4,64,4,1026.1,0.26,0.57
48,BERT-Large,1,64,4,1111.9,0.07,0.15
620,DenseNet121,4,64,1,240.6,0.16,0.80
697,GPT-FineTune,4,32,1,105.7,0.07,0.35
51,BERT-Large,1,64,4,1111.1,0.07,0.15
57,BERT-Large,1,64,4,1111.2,0.07,0.15
59,BERT-Large,1,64,4,1111.1,0.07,0.15
710,GPT-FineTune,4,32,1,106.7,0.07,0.35
110,DenseNet121,4,64,4,1024.4,0.26,0.57
714,GPT-FineTune,4,32,1,105.8,0.07,0.35
63,BERT-Large,1,64,4,1111.5,0.07,0.15
640,DenseNet121,4,64,1,239.2,0.16,0.80
68,BERT-Large,1,64,4,1111.3,0.07,0.15
723,GPT-FineTune,4,32,1,105.7,0.07,0.35
725,GPT-FineTune,4,32,1,105.0,0.07,0.35
120,DenseNet121,4,64,4,1024.7,0.26,0.57
124,DenseNet121,4,64,4,1024.8,0.26,0.57
71,BERT-Large,1,64,4,1111.9,0.07,0.15
72,BERT-Large,1,64,4,1111.7,0.07,0.15
74,BERT-Large,1,64,4,1111.3,0.07,0.15
653,DenseNet121,4,64,1,240.1,0.16,0.80
75,BERT-Large,1,64,4,1111.4,0.07,0.15
658,DenseNet121,4,64,1,240.0,0.16,0.80
80,BERT-Large,1,64,4,1111.7,0.07,0.15
137,DenseNet121,4,64,4,1025.2,0.26,0.57
661,DenseNet121,4,64,1,239.2,0.16,0.80
143,DenseNet121,4,64,4,1025.0,0.26,0.57
747,GPT-FineTune,4,32,1,105.9,0.07,0.35
152,DenseNet121,4,64,4,1024.9,0.26,0.57
93,BERT-Large,1,64,4,1111.5,0.07,0.15
94,BERT-Large,1,64,4,1111.5,0.07,0.15
96,BERT-Large,1,64,4,1111.4,0.07,0.15
756,GPT-FineTune,4,32,1,106.0,0.07,0.35
757,GPT-FineTune,4,32,1,106.5,0.07,0.35
156,DenseNet121,4,64,4,1024.7,0.26,0.57
758,GPT-FineTune,4,32,1,107.0,0.07,0.35
101,BERT-Large,1,64,4,1111.9,0.07,0.15
678,DenseNet121,4,64,1,239.2,0.16,0.80
161,DenseNet121,4,64,4,1024.6,0.26,0.57
